graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
2425,bio-nr-2425-size-8,8,trivial,229,2,0,0.15966198407113552,True,229,0.0006847239999999999,1.0
2426,bio-nr-2426-size-5,5,trivial,0,2,0,41.70258715748787,True,0,0.000231903,1.0
2427,bio-nr-2427-size-3,3,trivial,0,2,0,0.13704807497560978,True,0,0.000193157,1.0
2428,bio-nr-2428-size-5,5,trivial,336,2,0,0.15290291048586369,True,336,0.0007609030000000001,1.0
2429,bio-nr-2429-size-13,13,trivial,0,3,0,0.20753010176122189,True,0,0.00029502799999999997,1.0
2430,bio-nr-2430-size-25,25,trivial,2230,5,0,0.3845850005745888,True,2230,0.006234826,1.0
2431,bio-nr-2431-size-6,6,trivial,0,2,0,35.05159285850823,True,0,0.00021260099999999998,1.0
2432,bio-nr-2432-size-6,6,trivial,89,3,0,0.16226316802203655,True,89,0.000785355,1.0
2433,bio-nr-2433-size-12,12,trivial,114,3,0,0.19146990962326527,True,114,0.000831203,1.0
2434,bio-nr-2434-size-7,7,trivial,0,3,0,0.18693902529776096,True,0,0.0002268,1.0
2435,bio-nr-2435-size-7,7,trivial,245,3,0,0.18724193796515465,True,245,0.000727786,1.0
2436,bio-nr-2436-size-4,4,trivial,0,2,0,0.13527809642255306,True,0,0.000244721,1.0
2437,bio-nr-2437-size-4,4,trivial,0,2,0,0.14265393838286405,True,0,0.000189018,1.0
2438,bio-nr-2438-size-9,9,trivial,150,3,0,0.195981003344059,True,150,0.0009658999999999999,1.0
2439,bio-nr-2439-size-20,20,trivial,2348,3,0,0.23671798408031464,True,2348,0.013469078999999998,1.0
2440,bio-nr-2440-size-4,4,trivial,0,2,0,0.14391192235052586,True,0,0.000227937,1.0
2441,bio-nr-2441-size-3,3,trivial,0,2,0,24.42624187096953,True,0,0.000199202,1.0
2442,bio-nr-2442-size-4,4,trivial,0,2,0,0.1452718861401081,True,0,0.000209838,1.0
2443,bio-nr-2443-size-13,13,trivial,238,3,0,0.2003710251301527,True,238,0.001202165,1.0
2444,bio-nr-2444-size-5,5,trivial,0,3,0,0.1513189636170864,True,0,0.00020700900000000002,1.0
2445,bio-nr-2445-size-8,8,trivial,0,2,0,0.17093820497393608,True,0,0.000215648,1.0
2446,bio-nr-2446-size-12,12,trivial,0,3,0,0.21206284873187545,True,0,0.000275299,1.0
2447,bio-nr-2447-size-13,13,trivial,487,4,0,0.2389680594205857,True,487,0.001043307,1.0
2448,bio-nr-2448-size-16,16,trivial,1962,3,0,0.21032197400927544,True,1962,0.0014099660000000001,1.0
2449,bio-nr-2449-size-9,9,trivial,500,3,0,22.35848200507462,True,500,0.0008502010000000001,1.0
2450,bio-nr-2450-size-6,6,trivial,0,3,0,0.1781121827661991,True,0,0.000243722,1.0
2451,bio-nr-2451-size-3,3,trivial,0,2,0,0.12813415378332138,True,0,0.00022778299999999998,1.0
2452,bio-nr-2452-size-4,4,trivial,0,2,0,0.12274505570530893,True,0,0.00021794099999999998,1.0
2453,bio-nr-2453-size-9,9,trivial,0,2,0,0.14167092740535736,True,0,0.000248127,1.0
2454,bio-nr-2454-size-12,12,trivial,2133,4,0,0.22965902462601664,True,2133,0.0010366560000000002,1.0
2455,bio-nr-2455-size-3,3,trivial,0,2,0,27.60322298854589,True,0,0.000147148,1.0
2456,bio-nr-2456-size-4,4,trivial,0,2,0,30.887281987816092,True,0,0.00018492900000000002,1.0
